Resteurant_Name,Overall_Rating,Review_Title,Review_Date,Verified,Review_Text
U Fukiera,5,"""A delicious moment""",09.09.23,True,"""Everything was perfectA romantic and traditional setting, succulent cuisine, exceptional service.Thanks to Piotr for his advice."""
U Fukiera,5,"""Beautiful restaurant with Polish specialties""",11.09.23,True,"""A restaurant with a unique atmosphere and food that melts in your mouth?? (dumplings are the best in town??). The tartare is good, but without bread, so I recommend ordering some. A very interesting menu, many tempting items, everyone will find something for themselves. I recommend the restaurant “U FUKIERA"""
U Fukiera,5,"""At Fukier's""",18.09.23,True,"""The food is delicious, large portions, you can eat enough, the empty plates speak for themselves. Very nice service. There is order and orders are fulfilled on time. Everything was really perfect. I highly recommend it"""
U Fukiera,5,"""I will recommend""",18.09.23,True,"""The place is tastefully decorated, with taste and reference to culture. The gentleman who served us was very nice and reliable. If you like Polish cuisine, this place should be on your taste map ???? We are very pleased, we will come back many times"""
U Fukiera,5,"""Strong 10/10""",19.09.23,True,"""The food is correct, rich in flavor, and you can see the care taken with the ingredients.The friendly service and short waiting time for ordered items also deserve special approval. I recommend the fabulous cheesecake,which, unfortunately, may no longer be available, but there is still takeaway :-)"""
U Fukiera,5,"""I recommend U Fukiera""",21.09.23,True,"""When we were in Warsaw last year, we liked the food very much, so this year, as we stayed in a nearby hotel again, we decided to return to Fukier for dinner and so we returned there every day of our stay. Delicacies from appetizers to desserts. Contrary to the comments I have heard, the prices are normal and the food is of much higher quality than in similar places nearby. Additionally, the restaurant has a pleasant atmosphere, from the cozy decor to the good waiter service. I highly recommend it and we will definitely come back next year"""
U Fukiera,5,"""random visit""",21.09.23,True,"""very, very good food, definitely worth recommending, I got there by complete accident, but it was worth trying, we ordered Ukrainian dumplings and pork chop, everything was tasty"""
U Fukiera,2,"""a waste of time and money""",22.09.23,True,"""Salad for the entrée with a crunchy addition, I don't know if it's a new condiment, but you could feel the sand in your teeth, uneaten- zero stars.Beverage- orange lemonade- sour like lime lemonade, can't you buy better quality, sweeter oranges for 60 zl for a carafe ? - minus.The biggest minus second dishes:1) the entrecote - inedible, hard, you can not even cut it along the fibers, let alone bite it, it does not matter how long the meat lies on the hot stone, all the time the same hard and stringy, only less bloody, on the advice of the waiter I ""cut"", more like tore a small piece and put it on the hot stone, it baked hard and still hard and basty, the cost of 203 z³ for such an entrecote ? I would not give it to my dog - zero stars,On the plus side, they did not add it to the bill, but I came to eat well for not inconsiderable money, not to have something deducted from the bill, if you still want to eat an entrecote at Fukier's I recommend taking a personal tooth irrigator, so as not to damage the gums2) pork loin - average, no revelation, I have eaten much better3) potatoes for pork loin and cabbage flawless, soups too, that's why there are two stars, not one.Summary- average meals for a much exorbitant price in relation to quality. You want to fill your belly quickly go to Fukier, you want to eat deliciously and have a culinary feast choose another establishment, you won't be annoyed spending your hard-earned money."""
U Fukiera,5,"""I recommend this place""",02.10.23,True,"""Delicious, fresh, not frozen, simply delicious, the place reminds me of good, home-made food made by my grandmother, and also very nice service ^^ A place definitely worth visiting."""
U Fukiera,5,"""I recommend the dumplings""",02.10.23,True,"""A very nice restaurant, you can eat in the garden or in an atmospheric, beautifully decorated interior. It is worth going inside to be transported back to old Polish atmosphere. The waiting time depends on the number of customers, but we got in almost immediately and it was worth it.We ordered dumplings, they were tasty, the portion was large and there was a lot of stuffing inside, you can easily eat one portion, the only drawback is that we didn't have enough room for some cake. But the desserts looked tempting, so I'll let you know for information. It tasted delicious - I recommend it"""
U Fukiera,5,"""Simply wonderful """,07.10.23,True,"""Bibendum needs to pay attention!  This restaurant deserves its Michelins star and not just a Michelin strong suggestion.  It simply is wonderful. We loved it so much that we had 2 dinners and a lunch here. Absolutely perfect. Staff is extremely attentive and with Tomasz Dunaj at the helm, they deserve that star."""
U Fukiera,1,"""Horrible""",09.10.23,True,"""I ordered potato pancakes which were fry on the fish oil?? I ask the stuff about my meal which they just answer that wasn’t fry on the fish oil. They didn’t wanted to send this back to the kitchen to checked that I was right. I didn’t eat my dish I pay full amount. I will never go there again. Very bad experience"""
U Fukiera,5,"""Heaven in mouth""",11.10.23,True,"""The best Polish restaurant in Warsaw, dumplings deserve a medal, soups and meats - a delicious selection. Today's dinner was delicious. I definitely recommend it!"""
U Fukiera,5,"""I recommend!""",13.10.23,True,"""It's great. We love coming back here every holiday. Great atmosphere and excellent food, here tradition perfectly intertwines with modernity. I recommend it wholeheartedly? ??"""
U Fukiera,5,"""I recommend!""",22.10.23,True,"""This is one of the most delicious Polish cuisines I have ever eaten. I recommend! It's worth going there and feasting. For me, this is an iconic pub - a symbol of Warsaw, just like the mermaid."""
U Fukiera,5,"""I recommend it for pork chop""",25.10.23,True,"""Everything is great, the location on the market square, the decor, the space, and what's more, the friendly, unobtrusive service. The prices are quite high, but for the quality and taste it is really worth it. After all, it's not every day you eat such a huge pork chop for dinner."""
U Fukiera,5,"""Good dinner""",26.10.23,True,"""A nice place for a good dinner on the market square in Warsaw. There is a large selection of dishes, so I think everyone will find something for themselves, unusual and wonderful combinations, everything goes together perfectly. I also recommend food from Mrs. Magda's delicatessen."""
U Fukiera,5,"""At Fukier's""",27.10.23,True,"""Very pleasant atmosphere, great dishes. We took advantage of it during lunch time and every dish we tried was an explosion of flavors. The portions are large, so we didn't eat that much, but it wasn't our last visit to this place and we will make up for it next time, coming with empty bellies.Service: classy ???? I highly recommend it ????"""
U Fukiera,5,"""Dumplings, which I highly recommend""",31.10.23,True,"""Dumplings worth every minute of waiting and every zloty spent. Out of this world, the best dumplings I have ever eaten in my life, I must admit that they are even better than those from my grandma. Service, nice, efficient and reliable. Portions that guarantee to satisfy your appetite. I recommend highly"""
U Fukiera,5,"""Just like mom's""",31.10.23,True,"""Delicious food, I've already tried a few dishes and each of them tasted great. The pork chop is better than mom's, huge and super crispy, the broth is first class."""
U Fukiera,5,"""Worth it""",03.11.23,True,"""This was our last meal in Warsaw at the end of Krakow/Warsaw trip and we really enjoyed it. The food takes most of the traditional fare up a notch and has some other dishes you don't find in most restaurants. Everything was delicious and well plated. The staff is incredibly helpful, informed, and just nice. The ambiance is gorgeous with fresh flowers everywhere. It was expensive with kids for us but worth the splurge."""
U Fukiera,5,"""Appetite comes with eating""",03.11.23,True,"""Friendly welcome, kindness and availability in illustrating the opportunities for dishes for celiacs, order and cleanliness, excellent dishes served with professionalism. Characteristic place, refined service, good value for money. Well done, thanks everyone!!!!"""
U Fukiera,5,"""A place that I recommend and to which I will return many times""",08.11.23,True,"""From the moment we entered, everything was as it should be. The staff did their best from the beginning, we felt welcome and were well served. When it comes to food, you won't find tastier dumplings or wild boar pâté in the market square in Warsaw than here. Unique flavor combinations and high quality products are what characterize these two dishes. The visit will be remembered for a long time and I will gladly come back here."""
U Fukiera,5,"""Thank you and see you soon""",09.11.23,True,"""Delicious dinner, thank you. The young person serving us with passion in her eyes deserves special praise. Thanks to the fantastic advice, we tried something different ?? A proven restaurant, always worth visiting when you're nearby ??"""
U Fukiera,5,"""tasty and in a nice atmosphere ??""",15.11.23,True,"""Professional service, delicious food, we tried goose meat, pork loin and tomato soup. Large portions and super tasty. I recommend"""
U Fukiera,5,"""Revelation!""",17.11.23,True,"""Revelation! I heartily recommend it! The food is delicious and the service makes you want to come back. The waiter (Mr. Piotr) not only advised, but even guided us through exquisite flavors…Guests from S³upsk"""
U Fukiera,2,"""Tasteless soups""",20.11.23,True,"""I wanted my English friend to try rosó³ and ¿urek and I thought U Fukiera would be the best choice for that. Unfortunately, I was wrong. ¯urek tasted like mushroom soup, there was no flavour of the typical Polish ¿urek. Rósól, the same, very tasteless, pasta was not the handmade one.I'm very disappointed also because one soup costs 37z³ there. If you want the foreigner to try the typical Polish soups, don't try them at U Fukiera."""
U Fukiera,5,"""I recommend""",20.11.23,True,"""Very exquisite food, flavors that will delight the most demanding tasters, and the atmosphere enchanted us, we felt as if we had gone back in time?? I hope that we will visit this beautiful place again??"""
U Fukiera,5,"""At Fukier's""",24.11.23,True,"""The food was tasty, the pork chop was flawless, I enjoyed every bite. A huge advantage is the location in the old town square and the service of the reliable Mr. Adam. I appreciate and recommend it"""
U Fukiera,2,"""Disappointing and expensive""",27.11.23,True,"""A place that invites you to enter for an attractive showcase and with the Michelin logo to reassure its value. The staff is young and inexperienced, the tourist target and the quality of the food is absolutely dubious. Exorbitant bill (540 sloty for 6 ravioli, a pasta with broth and a veal steak passed off as entrecote, a glass of wine and two glasses of prosecco). Advice to Italians: leave it alone."""
U Fukiera,5,"""Delicious food""",02.12.23,True,"""Everything was really tasty! A wonderful, flavorful broth. Pampered goose breast. And excellent croissants with white poppy seeds.I recommend it for nice meetings with friends, because the place has a lively atmosphere."""
U Fukiera,5,"""Romantic dinner""",08.12.23,True,"""I recommend it wholeheartedly. A unique time spent at dinner, which was a real taste and visual feast. Great staff, special thanks to Mr. Adam, who created a wonderful atmosphere and took care of us and did not miss anything. If you are looking for a place for a romantic dinner in the old town - only this restaurant = 100% satisfaction."""
